,DATE,TEC
711,2020-10-20 09:45:00,101
712,2020-10-20 10:00:00,109
713,2020-10-20 10:15:00,112
714,2020-10-20 10:30:00,122
715,2020-10-20 10:45:00,111
716,2020-10-20 11:00:00,85
717,2020-10-20 11:15:00,61
718,2020-10-20 11:30:00,75
719,2020-10-20 11:45:00,71
720,2020-10-20 12:00:00,88
721,2020-10-20 12:15:00,104
722,2020-10-20 12:30:00,115
723,2020-10-20 12:45:00,116
724,2020-10-20 13:00:00,92
725,2020-10-20 13:15:00,74
726,2020-10-20 13:30:00,74
727,2020-10-20 13:45:00,89
728,2020-10-20 14:00:00,115
729,2020-10-20 14:15:00,102
730,2020-10-20 14:30:00,87
731,2020-10-20 14:45:00,84
732,2020-10-20 15:00:00,96
733,2020-10-20 15:15:00,121
734,2020-10-20 15:30:00,122
735,2020-10-20 15:45:00,118
736,2020-10-20 16:00:00,115
737,2020-10-20 16:15:00,118
738,2020-10-20 16:30:00,116
739,2020-10-20 16:45:00,143
740,2020-10-20 17:00:00,157
741,2020-10-20 17:15:00,160
742,2020-10-20 17:30:00,162
743,2020-10-20 17:45:00,172
744,2020-10-20 18:00:00,185
745,2020-10-20 18:15:00,180
746,2020-10-20 18:30:00,173
747,2020-10-20 18:45:00,161
748,2020-10-20 19:00:00,154
749,2020-10-20 19:15:00,123
750,2020-10-20 19:30:00,122
751,2020-10-20 19:45:00,127
752,2020-10-20 20:00:00,142
753,2020-10-20 20:15:00,124
754,2020-10-20 20:30:00,128
755,2020-10-20 20:45:00,132
756,2020-10-20 21:00:00,125
757,2020-10-20 21:15:00,129
758,2020-10-20 21:30:00,129
759,2020-10-20 21:45:00,115
760,2020-10-20 22:00:00,106
761,2020-10-20 22:15:00,127
762,2020-10-20 22:30:00,121
763,2020-10-20 22:45:00,110
764,2020-10-20 23:00:00,145
765,2020-10-20 23:15:00,139
766,2020-10-20 23:30:00,149
767,2020-10-20 23:45:00,162
768,2020-10-21 00:00:00,148
769,2020-10-21 00:15:00,158
770,2020-10-21 00:30:00,149
771,2020-10-21 00:45:00,125
772,2020-10-21 01:00:00,109
773,2020-10-21 01:15:00,83
774,2020-10-21 01:30:00,86
775,2020-10-21 01:45:00,94
776,2020-10-21 02:00:00,91
777,2020-10-21 02:15:00,91
778,2020-10-21 02:30:00,78
779,2020-10-21 02:45:00,68
780,2020-10-21 03:00:00,82
781,2020-10-21 03:15:00,98
782,2020-10-21 03:30:00,94
783,2020-10-21 03:45:00,75
784,2020-10-21 04:00:00,79
785,2020-10-21 04:15:00,95
786,2020-10-21 04:30:00,101
787,2020-10-21 04:45:00,100
788,2020-10-21 05:00:00,75
789,2020-10-21 05:15:00,72
790,2020-10-21 05:30:00,77
791,2020-10-21 05:45:00,83
792,2020-10-21 06:00:00,99
793,2020-10-21 06:15:00,87
794,2020-10-21 06:30:00,98
795,2020-10-21 06:45:00,105
796,2020-10-21 07:00:00,121
797,2020-10-21 07:15:00,113
798,2020-10-21 07:30:00,95
799,2020-10-21 07:45:00,78
800,2020-10-21 08:00:00,70
801,2020-10-21 08:15:00,74
802,2020-10-21 08:30:00,90
803,2020-10-21 08:45:00,85
804,2020-10-21 09:00:00,80
805,2020-10-21 09:15:00,84
806,2020-10-21 09:30:00,83
807,2020-10-21 09:45:00,103
808,2020-10-21 10:00:00,110
809,2020-10-21 10:15:00,121
